RMSD(A),unweighted,weighted
sphere01,0.135,0.089
sphere02,0.115,0.07
sphere03,0.106,0.057
sphere04,0.079,0.059
sphere05,0.09,0.064
sphere06,0.073,0.066
sphere07,0.113,0.059
sphere08,0.563,0.397
sphere09,0.116,0.07
sphere10,0.16,0.136
sphere11,0.053,0.046
sphere12,0.116,0.092
sphere13,0.108,0.061
sphere14,0.083,0.059
sphere15,0.093,0.066
sphere16,0.09,0.054
sphere17,0.178,0.129
sphere18,0.088,0.057
sphere19,0.085,0.06
sphere20,0.091,0.07
sphere21,0.047,0.045
sphere22,0.216,0.099
sphere23,0.185,0.142
sphere24,0.079,0.071
sphere25,0.677,0.648
sphere26,0.088,0.05
sphere27,0.542,0.475
sphere28,0.153,0.123
sphere29,0.165,0.163
sphere30,0.195,0.148
sphere31,0.198,0.149
sphere32,0.155,0.127
sphere33,0.041,0.039
sphere34,0.146,0.146
sphere35,0.412,0.367
sphere36,0.074,0.073
sphere37,0.222,0.17
sphere38,0.213,0.154
sphere39,0.532,0.371
sphere40,0.176,0.095
sphere41,0.349,0.314
sphere42,0.354,0.29
sphere43,0.079,0.073
sphere44,0.044,0.043
sphere45,0.047,0.046
sphere46,0.402,0.324
sphere47,0.08,0.08
sphere48,0.404,0.358
sphere49,0.399,0.295
sphere50,0.135,0.101
sphere51,0.239,0.199
Total,0.187901960784314,0.147823529411765
