RMSD(A),unweighted,weighted
sphere01,0.084,0.076
sphere02,0.094,0.059
sphere03,0.093,0.051
sphere04,0.271,0.209
sphere05,0.119,0.1
sphere06,0.488,0.296
sphere07,0.092,0.08
sphere08,0.101,0.072
sphere09,0.065,0.061
sphere10,0.056,0.053
sphere11,0.158,0.12
sphere12,0.086,0.071
sphere13,0.044,0.041
sphere14,0.061,0.054
sphere15,0.168,0.113
sphere16,0.154,0.104
sphere17,0.11,0.081
sphere18,0.059,0.055
sphere19,1.162,0.912
sphere20,0.042,0.037
sphere21,0.031,0.031
sphere22,0.216,0.099
sphere23,0.717,0.475
sphere24,0.883,0.465
sphere25,0.672,0.204
sphere26,0.504,0.437
sphere27,0.195,0.163
sphere28,0.307,0.241
sphere29,0.512,0.335
sphere30,0.107,0.092
sphere31,0.082,0.076
sphere32,0.063,0.059
sphere33,0.164,0.122
sphere34,0.261,0.222
sphere35,0.525,0.405
sphere36,0.13,0.113
sphere37,0.243,0.172
sphere38,0.539,0.497
sphere39,0.31,0.131
sphere40,0.674,0.508
sphere41,0.377,0.331
sphere42,0.196,0.172
sphere43,0.111,0.107
sphere44,0.079,0.073
sphere45,0.068,0.056
sphere46,0.055,0.054
sphere47,0.676,0.303
sphere48,0.174,0.14
sphere49,0.199,0.151
sphere50,0.144,0.113
sphere51,0.204,0.167
Mean,0.25343137254902,0.179588235294118
